,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
2374,67.71,0.0054242,41682,9954090771.81,0.0,-9963226915.08,81582615.18,-414305.69,79.5353,90718758.45,10088623812.21,-54572816.25,-9976353399.54,57697596.42,253615.5,53.8186,0.0,10004530464.08,0.0,-9975848602.88,43648419.0,-82708.82,-0.013156,14966557.8
2375,66.94,0.00538187,45531,9954877532.2,0.0,-9963226915.08,81004186.33,-578428.85,79.0618,89353569.21,10087189500.47,-52799851.74,-9976353399.54,58036249.19,338652.77,54.2358,0.0,10005172851.86,0.0,-9975848602.88,43553031.51,-95387.49,0.0175644,14228782.53
2376,66.23,0.00542358,14762,9956378518.97,0.0,-9963226915.08,79995275.73,-1008910.6,78.6077,86843671.84,10086440773.11,-51463405.06,-9976353399.54,58623968.51,587719.32,54.0669,0.0,10004416162.64,0.0,-9975848602.88,43392292.98,-160738.53,-0.0087668,14824733.22
2377,66.34,0.0054067,85061,9956135518.39,0.0,-9963226915.08,79081184.84,-914090.89,78.811,86172581.53,10086221842.42,-50705091.93,-9976353399.54,59163350.95,539382.44,53.9556,0.0,10004879884.38,0.0,-9975848602.88,43236291.9,-156001.08,-0.0219362,14205010.4
2378,66.06,0.00539556,17539,9958658032.95,0.0,-9963226915.08,79231540.51,150355.67,80.5631,83800422.64,10083399990.62,-47967137.0,-9976353399.54,59079454.08,-83896.87,54.8181,0.0,10005187957.14,0.0,-9975848602.88,43261068.62,24776.72,-0.0512971,13921714.36
2379,65.96,0.00548181,17701,9958489776.91,0.0,-9963226915.08,78884648.59,-346891.92,80.3223,83621786.76,10082994501.18,-47364821.82,-9976353399.54,59276279.82,196825.74,54.1713,0.0,10005764054.95,0.0,-9975848602.88,43203487.13,-57581.49,-0.0559811,13288035.06
2380,66.79,0.00541713,84098,9957912397.54,0.0,-9963226915.08,78764958.3,-119690.29,81.0004,84079475.84,10083483923.73,-47786436.96,-9976353399.54,59344087.23,67807.41,54.2906,0.0,10005856123.77,0.0,-9975848602.88,43184482.01,-19005.12,-0.173333,13176961.12
2381,66.49,0.00542906,104270,9957384607.89,0.0,-9963226915.08,79829826.92,1064868.62,81.3474,85672134.11,10081276299.67,-46156498.51,-9976353399.54,58766401.62,-577685.61,54.4107,0.0,10008623330.96,0.0,-9975848602.88,43351592.48,167110.47,-0.107041,10576864.4
2382,67.08,0.00544107,126619,9955512351.33,0.0,-9963226915.08,79451831.55,-377995.37,83.5228,87166395.3,10084734554.63,-49410913.17,-9976353399.54,58970241.92,203840.3,54.1711,0.0,10007041405.0,0.0,-9975848602.88,43304819.99,-46772.49,0.0975312,12112017.87
2383,67.23,0.00541711,46072,9956783975.8,0.0,-9963226915.08,80232537.4,780705.85,85.5391,86675476.68,10087732911.89,-52851527.04,-9976353399.54,58527985.31,-442256.61,53.8476,0.0,10002775504.7,0.0,-9975848602.88,43412952.18,108132.19,0.0241473,16486050.36
2384,67.39,0.00538476,127584,9955750039.8,0.0,-9963226915.08,80433274.41,200737.01,85.2079,87910149.69,10087223289.8,-52463266.65,-9976353399.54,58406623.61,-121361.7,53.6183,0.0,10004324256.3,0.0,-9975848602.88,43451270.38,38318.2,-0.0376393,14975616.96
2385,67.76,0.00536184,139747,9951456453.41,0.0,-9963226915.08,80649195.18,215920.77,85.6518,92419656.85,10090157454.63,-55526260.06,-9976353399.54,58277795.03,-128828.58,53.9486,0.0,10005687717.07,0.0,-9975848602.88,43488217.4,36947.02,0.0604504,13649103.21
2386,67.55,0.00539486,23181,9948790533.56,0.0,-9963226915.08,81163763.12,514567.94,85.7885,95600144.64,10094881090.51,-60558806.0,-9976353399.54,57968884.97,-308910.06,53.8503,0.0,10003634023.03,0.0,-9975848602.88,43564081.51,75864.11,0.0375545,15778661.36
